"id","name","code","parent","reconcile","kind","type","deferral","party_required"
"pgc_0","Plan General Contable 2008",0,,"False","view","es","True","False"
"pgc_1","Financiación Básica",1,"pgc_0","False","view",,"True","False"
"pgc_10","Capital",10,"pgc_1","False","view",,"True","False"
"pgc_100","Capital social",100,"pgc_10","False","view",,"True","False"
"pgc_100_child","Capital social",100,"pgc_100","False","other","es_balance_normal_21110","True","False"
"pgc_101","Fondo social",101,"pgc_10","False","view",,"True","False"
"pgc_101_child","Fondo social",101,"pgc_101","False","other","es_balance_normal_21110","True","False"
"pgc_102","Capital",102,"pgc_10","False","view",,"True","False"
"pgc_102_child","Capital",102,"pgc_102","False","other","es_balance_normal_21110","True","False"
"pgc_103","Socios por desembolsos no exigidos",103,"pgc_10","False","view",,"True","False"
"pgc_1030","Socios por desembolsos no exigidos, capital social",1030,"pgc_103","False","view",,"True","False"
"pgc_1030_child","Socios por desembolsos no exigidos, capital social",1030,"pgc_1030","False","other","es_balance_normal_21120","True","False"
"pgc_1034","Socios por desembolsos no exigidos, capital pendiente de inscripción",1034,"pgc_103","False","view",,"True","False"
"pgc_1034_child","Socios por desembolsos no exigidos, capital pendiente de inscripción",1034,"pgc_1034","False","other","es_balance_normal_32350","True","False"
"pgc_104","Socios por aportaciones no dinerarias pendientes",104,"pgc_10","False","view",,"True","False"
"pgc_1040","Socios por aportaciones no dinerarias pendientes, capital social",1040,"pgc_104","False","view",,"True","False"
"pgc_1040_child","Socios por aportaciones no dinerarias pendientes, capital social",1040,"pgc_1040","False","other","es_balance_normal_21120","True","False"
"pgc_1044","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",1044,"pgc_104","False","view",,"True","False"
"pgc_1044_child","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",1044,"pgc_1044","False","other","es_balance_normal_32350","True","False"
"pgc_108","Acciones o participaciones propias en situaciones especiales",108,"pgc_10","False","view",,"True","False"
"pgc_108_child","Acciones o participaciones propias en situaciones especiales",108,"pgc_108","False","other","es_balance_normal_21400","True","False"
"pgc_109","Acciones o participaciones propias para reducción de capital",109,"pgc_10","False","view",,"True","False"
"pgc_109_child","Acciones o participaciones propias para reducción de capital",109,"pgc_109","False","other","es_balance_normal_21400","True","False"
"pgc_11","Reservas y otros instrumentos de patrimonio",11,"pgc_1","False","view",,"True","False"
"pgc_110","Prima de Emisión o asunción",110,"pgc_11","False","view",,"True","False"
"pgc_110_child","Prima de Emisión o asunción",110,"pgc_110","False","other","es_balance_normal_21200","True","False"
"pgc_111","Otros Instrumentos de patrimonio neto",111,"pgc_11","False","view",,"True","False"
"pgc_1110","Patrimonio neto por emision de instrumentos financieros compuestos",1110,"pgc_111","False","view",,"True","False"
"pgc_1110_child","Patrimonio neto por emision de instrumentos financieros compuestos",1110,"pgc_1110","False","other","es_balance_normal_21900","True","False"
"pgc_1111","Resto de instrumentos de patrimonio neto",1111,"pgc_111","False","view",,"True","False"
"pgc_1111_child","Resto de instrumentos de patrimonio neto",1111,"pgc_1111","False","other","es_balance_normal_21900","True","False"
"pgc_112","Reserva Legal",112,"pgc_11","False","view",,"True","False"
"pgc_112_child","Reserva Legal",112,"pgc_112","False","other","es_balance_normal_21310","True","False"
"pgc_113","Reservas voluntarias",113,"pgc_11","False","view",,"True","False"
"pgc_113_child","Reservas voluntarias",113,"pgc_113","False","other","es_balance_normal_21320","True","False"
"pgc_114","Reservas especiales",114,"pgc_11","False","view",,"True","False"
"pgc_1140","Reservas para acciones o participaciones de la sociedad dominante",1140,"pgc_114","False","view",,"True","False"
"pgc_1140_child","Reservas para acciones o participaciones de la sociedad dominante",1140,"pgc_1140","False","other","es_balance_normal_21320","True","False"
"pgc_1141","Reservas estatutarias",1141,"pgc_114","False","view",,"True","False"
"pgc_1141_child","Reservas estatutarias",1141,"pgc_1141","False","other","es_balance_normal_21310","True","False"
"pgc_1142","Reserva por capital amortizado",1142,"pgc_114","False","view",,"True","False"
"pgc_1142_child","Reserva por capital amortizado",1142,"pgc_1142","False","other","es_balance_normal_21320","True","False"
"pgc_1143","Reserva por fondo de comercio",1143,"pgc_114","False","view",,"True","False"
"pgc_1143_child","Reserva por fondo de comercio",1143,"pgc_1143","False","other","es_balance_normal_21320","True","False"
"pgc_1144","Reservas por acciones propias aceptadas en garantía",1144,"pgc_114","False","view",,"True","False"
"pgc_1144_child","Reservas por acciones propias aceptadas en garantía",1144,"pgc_1144","False","other","es_balance_normal_21320","True","False"
"pgc_115","Reservas por pérdidas y ganancias actuariales y otros ajustes",115,"pgc_11","False","view",,"True","False"
"pgc_115_child","Reservas por pérdidas y ganancias actuariales y otros ajustes",115,"pgc_115","False","other","es_balance_normal_21320","True","False"
"pgc_118","Aportaciones de socios o propietarios",118,"pgc_11","False","view",,"True","False"
"pgc_118_child","Aportaciones de socios o propietarios",118,"pgc_118","False","other","es_balance_normal_21600","True","False"
"pgc_119","Diferencias por ajuste del capital a euros",119,"pgc_11","False","view",,"True","False"
"pgc_119_child","Diferencias por ajuste del capital a euros",119,"pgc_119","False","other","es_balance_normal_21320","True","False"
"pgc_12","Resultados pendientes de Aplicación",12,"pgc_1","False","view",,"True","False"
"pgc_120","Remanente",120,"pgc_12","False","view",,"True","False"
"pgc_120_child","Remanente",120,"pgc_120","False","other","es_balance_normal_21510","True","False"
"pgc_121","Resultados negativos de ejercicios anteriores",121,"pgc_12","False","view",,"True","False"
"pgc_121_child","Resultados negativos de ejercicios anteriores",121,"pgc_121","False","other","es_balance_normal_21520","True","False"
"pgc_129","Resultado del ejercicio",129,"pgc_12","False","view",,"True","False"
"pgc_129_child","Resultado del ejercicio",129,"pgc_129","False","other","es_balance_normal_21700","True","False"
"pgc_13","Subvenciones, donaciones y ajustes por cambio de valor",13,"pgc_1","False","view",,"True","False"
"pgc_130","Subvenciones oficiales de capital",130,"pgc_13","False","view",,"True","False"
"pgc_130_child","Subvenciones oficiales de capital",130,"pgc_130","False","other","es_balance_normal_23000","True","False"
"pgc_131","Donaciones y legados de capital",131,"pgc_13","False","view",,"True","False"
"pgc_131_child","Donaciones y legados de capital",131,"pgc_131","False","other","es_balance_normal_23000","True","False"
"pgc_132","Otras subvenciones, donaciones y legados",132,"pgc_13","False","view",,"True","False"
"pgc_132_child","Otras subvenciones, donaciones y legados",132,"pgc_132","False","other","es_balance_normal_23000","True","False"
"pgc_133","Ajustes por valoración en activos financieros disponibles para la venta",133,"pgc_13","False","view",,"True","False"
"pgc_133_child","Ajustes por valoración en activos financieros disponibles para la venta",133,"pgc_133","False","other","es_balance_normal_22100","True","False"
"pgc_134","Operaciones de cobertura",134,"pgc_13","False","view",,"True","False"
"pgc_1340","Cobertura de flujos de efectivo",1340,"pgc_134","False","view",,"True","False"
"pgc_1340_child","Cobertura de flujos de efectivo",1340,"pgc_1340","False","other","es_balance_normal_22200","True","False"
"pgc_1341","Cobertura de una inversión neta en un negocio en el extranjero",1341,"pgc_134","False","view",,"True","False"
"pgc_1341_child","Cobertura de una inversión neta en un negocio en el extranjero",1341,"pgc_1341","False","other","es_balance_normal_22200","True","False"
"pgc_135","Diferencias de conversión",135,"pgc_13","False","view",,"True","False"
"pgc_135_child","Diferencias de conversión",135,"pgc_135","False","other","es_balance_normal_22400","True","False"
"pgc_136","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta",136,"pgc_13","False","view",,"True","False"
"pgc_136_child","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta",136,"pgc_136","False","other","es_balance_normal_22300","True","False"
"pgc_137","Ingresos fiscales a distribuir en varios ejercicios",137,"pgc_13","False","view",,"True","False"
"pgc_1370","Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios",1370,"pgc_137","False","view",,"True","False"
"pgc_1370_child","Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios",1370,"pgc_1370","False","other","es_balance_normal_22500","True","False"
"pgc_1371","Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios",1371,"pgc_137","False","view",,"True","False"
"pgc_1371_child","Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios",1371,"pgc_1371","False","other","es_balance_normal_22500","True","False"
"pgc_14","Provisiones",14,"pgc_1","False","view",,"True","False"
"pgc_140","Provisión por retribuciones del personal",140,"pgc_14","True","view",,"True","False"
"pgc_140_child","Provisión por retribuciones del personal",140,"pgc_140","True","other","es_balance_normal_31110","True","False"
"pgc_141","Provisión para impuestos",141,"pgc_14","True","view",,"True","False"
"pgc_141_child","Provisión para impuestos",141,"pgc_141","True","other","es_balance_normal_31140","True","False"
"pgc_142","Provisión para otras responsabilidades",142,"pgc_14","True","view",,"True","False"
"pgc_142_child","Provisión para otras responsabilidades",142,"pgc_142","True","other","es_balance_normal_31140","True","False"
"pgc_143","Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",143,"pgc_14","True","view",,"True","False"
"pgc_143_child","Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",143,"pgc_143","True","other","es_balance_normal_31140","True","False"
"pgc_145","Provisión para actuaciones medioambientales",145,"pgc_14","True","view",,"True","False"
"pgc_145_child","Provisión para actuaciones medioambientales",145,"pgc_145","True","other","es_balance_normal_31120","True","False"
"pgc_146","Provisión para reestructuraciones",146,"pgc_14","True","view",,"True","False"
"pgc_146_child","Provisión para reestructuraciones",146,"pgc_146","True","other","es_balance_normal_31130","True","False"
"pgc_147","Provisión por transacciones con pagos basados en instrumentos de patrimonio",147,"pgc_14","True","view",,"True","False"
"pgc_147_child","Provisión por transacciones con pagos basados en instrumentos de patrimonio",147,"pgc_147","True","other","es_balance_normal_31140","True","False"
"pgc_15","Deudas con características especiales",15,"pgc_1","False","view",,"True","False"
"pgc_150","Acciones o participaciones consideradas como pasivos financieros",150,"pgc_15","False","view",,"True","False"
"pgc_150_child","Acciones o participaciones consideradas como pasivos financieros",150,"pgc_150","False","other","es_balance_normal_31700","True","False"
"pgc_153","Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros",153,"pgc_15","False","view",,"True","False"
"pgc_1533","Desembolsos no exigidos, empresas del grupo",1533,"pgc_153","False","view",,"True","False"
"pgc_1533_child","Desembolsos no exigidos, empresas del grupo",1533,"pgc_1533","False","other","es_balance_normal_31700","True","False"
"pgc_1534","Desembolsos no exigidos, empresas asociadas",1534,"pgc_153","False","view",,"True","False"
"pgc_1534_child","Desembolsos no exigidos, empresas asociadas",1534,"pgc_1534","False","other","es_balance_normal_31700","True","False"
"pgc_1535","Desembolsos no exigidos, otras partes vinculadas",1535,"pgc_153","False","view",,"True","False"
"pgc_1535_child","Desembolsos no exigidos, otras partes vinculadas",1535,"pgc_1535","False","other","es_balance_normal_31700","True","False"
"pgc_1536","Otros desembolsos no exigidos",1536,"pgc_153","False","view",,"True","False"
"pgc_1536_child","Otros desembolsos no exigidos",1536,"pgc_1536","False","other","es_balance_normal_31700","True","False"
"pgc_154","Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros",154,"pgc_15","False","view",,"True","False"
"pgc_1543","Aportaciones no dinerarias pendientes, empresas del grupo",1543,"pgc_154","False","view",,"True","False"
"pgc_1543_child","Aportaciones no dinerarias pendientes, empresas del grupo",1543,"pgc_1543","False","other","es_balance_normal_31700","True","False"
"pgc_1544","Aportaciones no dinerarias pendientes, empresas asociadas",1544,"pgc_154","False","view",,"True","False"
"pgc_1544_child","Aportaciones no dinerarias pendientes, empresas asociadas",1544,"pgc_1544","False","other","es_balance_normal_31700","True","False"
"pgc_1545","Aportaciones no dinerarias pendientes, otras partes vinculadas",1545,"pgc_154","False","view",,"True","False"
"pgc_1545_child","Aportaciones no dinerarias pendientes, otras partes vinculadas",1545,"pgc_1545","False","other","es_balance_normal_31700","True","False"
"pgc_1546","Otras aportaciones no dinerarias pendientes",1546,"pgc_154","False","view",,"True","False"
"pgc_1546_child","Otras aportaciones no dinerarias pendientes",1546,"pgc_1546","False","other","es_balance_normal_31700","True","False"
"pgc_16","Deudas con partes vinculadas",16,"pgc_1","False","view",,"True","False"
"pgc_160","Deudas con entidades de crédito vinculadas",160,"pgc_16","False","view",,"True","False"
"pgc_1603","Deudas con entidades de crédito vinculadas, empresas del grupo",1603,"pgc_160","False","view",,"True","False"
"pgc_1603_child","Deudas con entidades de crédito vinculadas, empresas del grupo",1603,"pgc_1603","False","other","es_balance_normal_31300","True","False"
"pgc_1604","Deudas con entidades de crédito vinculadas, empresas asociadas",1604,"pgc_160","False","view",,"True","False"
"pgc_1604_child","Deudas con entidades de crédito vinculadas, empresas asociadas",1604,"pgc_1604","False","other","es_balance_normal_31300","True","False"
"pgc_1605","Deudas con otras entidades de crédito vinculadas",1605,"pgc_160","False","view",,"True","False"
"pgc_1605_child","Deudas con otras entidades de crédito vinculadas",1605,"pgc_1605","False","other","es_balance_normal_31220","True","False"
"pgc_161","Proveedores de inmovilizado, partes vinculadas",161,"pgc_16","False","view",,"True","False"
"pgc_1613","Proveedores de inmovilizado, empresas del grupo",1613,"pgc_161","False","view",,"True","False"
