"id","name","code","parent","reconcile","kind","type","deferral","party_required"
"pgc_pymes_0","Plan General Contable PYMES 2008","0",,"False","view","es_pymes","True","False"
"pgc_pymes_1","Financiación Básica","1","pgc_pymes_0","False","view",,"True","False"
"pgc_pymes_10","Capital","10","pgc_pymes_1","False","view",,"True","False"
"pgc_pymes_100","Capital social","100","pgc_pymes_10","False","view",,"True","False"
"pgc_pymes_100_child","Capital social","100","pgc_pymes_100","False","other","es_balance_pymes_21110","True","False"
"pgc_pymes_101","Fondo social","101","pgc_pymes_10","False","view",,"True","False"
"pgc_pymes_101_child","Fondo social","101","pgc_pymes_101","False","other","es_balance_pymes_21110","True","False"
"pgc_pymes_102","Capital","102","pgc_pymes_10","False","view",,"True","False"
"pgc_pymes_102_child","Capital","102","pgc_pymes_102","False","other","es_balance_pymes_21110","True","False"
"pgc_pymes_103","Socios por desembolsos no exigidos","103","pgc_pymes_10","False","view",,"True","False"
"pgc_pymes_1030","Socios por desembolsos no exigidos, capital social","1030","pgc_pymes_103","False","view",,"True","False"
"pgc_pymes_1030_child","Socios por desembolsos no exigidos, capital social","1030","pgc_pymes_1030","False","other","es_balance_pymes_21120","True","False"
"pgc_pymes_1034","Socios por desembolsos no exigidos, capital pendiente de inscripción","1034","pgc_pymes_103","False","view",,"True","False"
"pgc_pymes_1034_child","Socios por desembolsos no exigidos, capital pendiente de inscripción","1034","pgc_pymes_1034","False","other","es_balance_pymes_32390","True","False"
"pgc_pymes_104","Socios por aportaciones no dinerarias pendientes","104","pgc_pymes_10","False","view",,"True","False"
"pgc_pymes_1040","Socios por aportaciones no dinerarias pendientes, capital social","1040","pgc_pymes_104","False","view",,"True","False"
"pgc_pymes_1040_child","Socios por aportaciones no dinerarias pendientes, capital social","1040","pgc_pymes_1040","False","other","es_balance_pymes_21120","True","False"
"pgc_pymes_1044","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","1044","pgc_pymes_104","False","view",,"True","False"
"pgc_pymes_1044_child","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","1044","pgc_pymes_1044","False","other","es_balance_pymes_32390","True","False"
"pgc_pymes_108","Acciones o participaciones propias en situaciones especiales","108","pgc_pymes_10","False","view",,"True","False"
"pgc_pymes_108_child","Acciones o participaciones propias en situaciones especiales","108","pgc_pymes_108","False","other","es_balance_pymes_21400","True","False"
