"id","name","sequence","parent","balance_sheet","income_statement"
"es","Plan General Contable Español 2008",1,,,
"es_balance_normal","BALANCE NORMAL (PGCE 2008)",2,"es","True",
"es_balance_normal_11000","A) ACTIVO NO CORRIENTE",11000,"es_balance_normal",,
"es_balance_normal_11100","I. Inmovilizado intangible",11100,"es_balance_normal_11000",,
"es_balance_normal_11110","1. Desarrollo",11110,"es_balance_normal_11100",,
"es_balance_normal_11120","2. Concesiones",11120,"es_balance_normal_11100",,
"es_balance_normal_11130","3. Patentes, licencias, marcas y similares",11130,"es_balance_normal_11100",,
"es_balance_normal_11140","4. Fondo de comercio",11140,"es_balance_normal_11100",,
"es_balance_normal_11150","5. Aplicaciones informáticas",11150,"es_balance_normal_11100",,
"es_balance_normal_11160","6. Investigación",11160,"es_balance_normal_11100",,
"es_balance_normal_11170","7. Otro inmovilizado intangible",11170,"es_balance_normal_11100",,
"es_balance_normal_11200","II. Inmovilizado material",11200,"es_balance_normal_11000",,
"es_balance_normal_11210","1. Terrenos y construcciones",11210,"es_balance_normal_11200",,
"es_balance_normal_11220","2. Instalaciones técnicas y otro inmovilizado material",11220,"es_balance_normal_11200",,
"es_balance_normal_11230","3. Inmovilizado en curso y anticipos",11230,"es_balance_normal_11200",,
"es_balance_normal_11300","III. Inversiones inmobiliarias",11300,"es_balance_normal_11000",,
"es_balance_normal_11310","1. Terrenos",11310,"es_balance_normal_11300",,
"es_balance_normal_11320","2. Construcciones",11320,"es_balance_normal_11300",,
"es_balance_normal_11400","IV. Inversiones en empresas del grupo y asociadas a largo plazo",11400,"es_balance_normal_11000",,
"es_balance_normal_11410","1. Instrumentos de patrimonio",11410,"es_balance_normal_11400",,
"es_balance_normal_11420","2. Créditos a empresas",11420,"es_balance_normal_11400",,
"es_balance_normal_11430","3. Valores representativos de deuda",11430,"es_balance_normal_11400",,
"es_balance_normal_11440","4. Derivados",11440,"es_balance_normal_11400",,
"es_balance_normal_11450","5. Otros activos financieros",11450,"es_balance_normal_11400",,
"es_balance_normal_11460","6. Otras inversiones",11460,"es_balance_normal_11400",,
"es_balance_normal_11500","V. Inversiones financieras a largo plazo",11500,"es_balance_normal_11000",,
"es_balance_normal_11510","1. Instrumentos de patrimonio",11510,"es_balance_normal_11500",,
"es_balance_normal_11520","2. Créditos a terceros",11520,"es_balance_normal_11500",,
"es_balance_normal_11530","3. Valores representativos de deuda",11530,"es_balance_normal_11500",,
"es_balance_normal_11540","4. Derivados",11540,"es_balance_normal_11500",,
"es_balance_normal_11550","5. Otros activos financieros",11550,"es_balance_normal_11500",,
"es_balance_normal_11560","6. Otras inversiones",11560,"es_balance_normal_11500",,
"es_balance_normal_11600","VI. Activos por impuesto diferido",11600,"es_balance_normal_11000",,
"es_balance_normal_11700","VII. Deudas comerciales no corrientes",11700,"es_balance_normal_11000",,
"es_balance_normal_12000","B) ACTIVO CORRIENTE",12000,"es_balance_normal",,
"es_balance_normal_12100","I. Activos no corrientes mantenidos para la venta",12100,"es_balance_normal_12000",,
"es_balance_normal_12200","II. Existencias",12200,"es_balance_normal_12000",,
"es_balance_normal_12210","1. Comerciales",12210,"es_balance_normal_12200",,
"es_balance_normal_12220","2. Materias primas y otros aprovisionamientos",12220,"es_balance_normal_12200",,
"es_balance_normal_12230","3. Productos en curso",12230,"es_balance_normal_12200",,
"es_balance_normal_12231","a) De ciclo largo de produccción",12231,"es_balance_normal_12230",,
"es_balance_normal_12232","b) De ciclo corto de producción",12232,"es_balance_normal_12230",,
"es_balance_normal_12240","4. Productos terminados",12240,"es_balance_normal_12200",,
"es_balance_normal_12241","a) De ciclo largo de produccción",12241,"es_balance_normal_12240",,
"es_balance_normal_12242","b) De ciclo corto de producción",12242,"es_balance_normal_12240",,
"es_balance_normal_12250","5. Subproductos, residuos y materiales recuperados",12250,"es_balance_normal_12200",,
"es_balance_normal_12260","6. Anticipos a proveedores",12260,"es_balance_normal_12200",,
"es_balance_normal_12300","III. Deudores comerciales y otras cuentas a cobrar",12300,"es_balance_normal_12000",,
