"id","name","code","parent","account"
"vat_code_chart_pymes_root","Plantilla Plan de Impuestos PYMES",,,"pgc_pymes_0"
"iva_pymes_dev_base","IVA Devengado Base Imponible","--","vat_code_chart_pymes_root","pgc_pymes_0"
"base_pymes_sop_ex","Base adquisiciones exentas","--","vat_code_chart_pymes_root","pgc_pymes_0"
"base_pymes_rep_ex","Base ventas exentas","--","vat_code_chart_pymes_root","pgc_pymes_0"
"iva_pymes_dev_01","Régimen general IVA Devengado. Base Imponible 4%","[01]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_04","Régimen general IVA Devengado. Base Imponible 7%","[04]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_04_8","Régimen general IVA Devengado. Base Imponible 8%","[04]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_04_10","Régimen general IVA Devengado. Base Imponible 10%","[04]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_07","Régimen general IVA Devengado. Base Imponible 16%","[07]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_07_18","Régimen general IVA Devengado. Base Imponible 18%","[07]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_07_21","Régimen general IVA Devengado. Base Imponible 21%","[07]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_10","Recargo Equivalencia Base Imponible 0.5%","[10]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_13","Recargo Equivalencia Base Imponible 1%","[13]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_13_14","Recargo Equivalencia Base Imponible 1.4%","[13]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_16","Recargo Equivalencia Base Imponible 4%","[16]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_16_52","Recargo Equivalencia Base Imponible 5.2%","[16]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_19","Adquisiciones intracomunitarias. Base Imponible","[19]","iva_pymes_dev_base","pgc_pymes_0"
"iva_pymes_dev_21","IVA Cuota total devengada","[21]","vat_code_chart_pymes_root","pgc_pymes_0"
"iva_pymes_dev_03","Régimen general IVA Devengado. Cuota 4%","[03]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_06","Régimen general IVA Devengado. Cuota 7%","[06]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_06_8","Régimen general IVA Devengado. Cuota 8%","[06]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_06_10","Régimen general IVA Devengado. Cuota 10%","[06]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_09","Régimen general IVA Devengado. Cuota 16%","[09]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_09_18","Régimen general IVA Devengado. Cuota 18%","[09]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_09_21","Régimen general IVA Devengado. Cuota 21%","[09]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_12","Recargo Equivalencia. Cuota 0.5%","[12]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_15","Recargo Equivalencia. Cuota 1%","[15]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_15_14","Recargo Equivalencia. Cuota 1.4%","[15]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_18","Recargo Equivalencia. Cuota 4%","[18]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_18_52","Recargo Equivalencia. Cuota 5.2%","[18]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_dev_20","Adquisiciones intracomunitarias. Cuota","[20]","iva_pymes_dev_21","pgc_pymes_0"
"iva_pymes_ded_base_total","IVA Deducible Base Imponible","--","vat_code_chart_pymes_root","pgc_pymes_0"
"iva_pymes_ded_22","Base operaciones interiores corrientes","[22]","iva_pymes_ded_base_total","pgc_pymes_0"
"iva_pymes_ded_22_4","Base operaciones interiores corrientes (4%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_22_7","Base operaciones interiores corrientes (7%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_22_8","Base operaciones interiores corrientes (8%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_22_10","Base operaciones interiores corrientes (10%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_22_16","Base operaciones interiores corrientes (16%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_22_18","Base operaciones interiores corrientes (18%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_22_21","Base operaciones interiores corrientes (21%)","--","iva_pymes_ded_22","pgc_pymes_0"
"iva_pymes_ded_24","Base operaciones interiores bienes inversión","[24]","iva_pymes_ded_base_total","pgc_pymes_0"
"iva_pymes_ded_24_4","Base operaciones interiores bienes inversión (4%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_24_7","Base operaciones interiores bienes inversión (7%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_24_8","Base operaciones interiores bienes inversión (8%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_24_10","Base operaciones interiores bienes inversión (10%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_24_16","Base operaciones interiores bienes inversión (16%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_24_18","Base operaciones interiores bienes inversión (18%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_24_21","Base operaciones interiores bienes inversión (21%)","--","iva_pymes_ded_24","pgc_pymes_0"
"iva_pymes_ded_26","Base importaciones bienes corrientes","[26]","iva_pymes_ded_base_total","pgc_pymes_0"
"iva_pymes_ded_26_4","Base importaciones bienes corrientes (4%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_26_7","Base importaciones bienes corrientes (7%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_26_8","Base importaciones bienes corrientes (8%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_26_10","Base importaciones bienes corrientes (10%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_26_16","Base importaciones bienes corrientes (16%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_26_18","Base importaciones bienes corrientes (18%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_26_21","Base importaciones bienes corrientes (21%)","--","iva_pymes_ded_26","pgc_pymes_0"
"iva_pymes_ded_28","Base importaciones bienes inversión","[28]","iva_pymes_ded_base_total","pgc_pymes_0"
"iva_pymes_ded_28_4","Base importaciones bienes inversión (4%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_28_7","Base importaciones bienes inversión (7%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_28_8","Base importaciones bienes inversión (8%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_28_10","Base importaciones bienes inversión (10%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_28_16","Base importaciones bienes inversión (16%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_28_18","Base importaciones bienes inversión (18%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_28_21","Base importaciones bienes inversión (21%)","--","iva_pymes_ded_28","pgc_pymes_0"
"iva_pymes_ded_30","Base adquisiciones intracomunitarias bienes corrientes","[30]","iva_pymes_ded_base_total","pgc_pymes_0"
"iva_pymes_ded_30_4","Base adquisiciones intracomunitarias bienes corrientes (4%)","--","iva_pymes_ded_30","pgc_pymes_0"
