"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign","invoice_tax_sign","credit_note_base_sign","credit_note_tax_sign","invoice_account","credit_note_account","sequence","start_date","end_date","account_name"
"irpf_1","Retenciones IRPF 1%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-1.0')","irpf_base_1","irpf_cuota_1","irpf_base_1","irpf_cuota_1",1,1,-1,-1,"pgc_475101","pgc_475101",,,,"Hacienda Pública. Retenciones empresarios módulos 1%"
"irpf_2","Retenciones IRPF 2%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-2.0')","irpf_base_2","irpf_cuota_2","irpf_base_2","irpf_cuota_2",1,1,-1,-1,"pgc_475102","pgc_475102",,,,"Hacienda Pública. Retenciones act. agrícolas, ganaderas, forestales 2%"
"irpf_7","Retenciones IRPF 7%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-7.0')","irpf_base_7","irpf_cuota_7","irpf_base_7","irpf_cuota_7",1,1,-1,-1,"pgc_475107","pgc_475107",,,,"Hacienda Pública. Retenciones act. profesionales 7%"
"irpf_9","Retenciones IRPF 9%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-9.0')","irpf_base_9","irpf_cuota_9","irpf_base_9","irpf_cuota_9",1,1,-1,-1,"pgc_475109","pgc_475109",,,,"Hacienda Pública. Retenciones act. profesionales 9%"
"irpf_15","Retenciones IRPF 15%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-15.0')","irpf_base_15","irpf_cuota_15","irpf_base_15","irpf_cuota_15",1,1,-1,-1,"pgc_475115","pgc_475115",,,,"Hacienda Pública. Retenciones act. profesionales 15%"
"irpf_18","Retenciones IRPF 18%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-18.0')","irpf_base_18","irpf_cuota_18","irpf_base_18","irpf_cuota_18",1,1,-1,-1,"pgc_475118","pgc_475118",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 18%"
"irpf_19","Retenciones IRPF 19%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-19.0')","irpf_base_19","irpf_cuota_19","irpf_base_19","irpf_cuota_19",1,1,-1,-1,"pgc_475119","pgc_475119",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19%"
"irpf_195","Retenciones IRPF 19,5%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-19.5')","irpf_base_195","irpf_cuota_195","irpf_base_195","irpf_cuota_195",1,1,-1,-1,"pgc_475195","pgc_475195",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19,5%"
"irpf_20","Retenciones IRPF 20%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-20.0')","irpf_base_20","irpf_cuota_20","irpf_base_20","irpf_cuota_20",1,1,-1,-1,"pgc_475120","pgc_475120",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 20%"
"irpf_21","Retenciones IRPF 21%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-21.0')","irpf_base_21","irpf_cuota_21","irpf_base_21","irpf_cuota_21",1,1,-1,-1,"pgc_475121","pgc_475121",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 21%"
"irpf_35","Retenciones IRPF 35%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-35.0')","irpf_base_35","irpf_cuota_35","irpf_base_35","irpf_cuota_35",1,1,-1,-1,"pgc_475135","pgc_475135",,,,"Hacienda Pública. Retenciones act. profesionales 35%"
"irpf_37","Retenciones IRPF 37%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-37.0')","irpf_base_37","irpf_cuota_37","irpf_base_37","irpf_cuota_37",1,1,-1,-1,"pgc_475137","pgc_475137",,,,"Hacienda Pública. Retenciones act. profesionales 37%"
"irpf_195a","Retenciones IRPF Arrendamientos 19,5%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-19.0')","irpf_base_195a","irpf_cuota_195a","irpf_base_195a","irpf_cuota_195a",1,1,-1,-1,"pgc_475195","pgc_475195",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19,5%"
"irpf_20a","Retenciones IRPF Arrendamientos 20%",,"pgc_0","tax_group_purchase","percentage","False","Decimal('-20.0')","irpf_base_20a","irpf_cuota_20a","irpf_base_20a","irpf_cuota_20a",1,1,-1,-1,"pgc_475120","pgc_475120",,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 20%"
"irpf_sale_1","Retenciones a cuenta IRPF 1%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-1.0')","irpf_base_sale_1","irpf_cuota_sale_1","irpf_base_sale_1","irpf_cuota_sale_1",1,1,-1,-1,"pgc_473001","pgc_473001",,,,"Hacienda Pública. Retenciones a cuenta empresarios módulos 1%"
"irpf_sale_2","Retenciones a cuenta IRPF 2%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-2.0')","irpf_base_sale_2","irpf_cuota_sale_2","irpf_base_sale_2","irpf_cuota_sale_2",1,1,-1,-1,"pgc_473002","pgc_473002",,,,"Hacienda Pública. Retenciones a cuenta act. agrícolas, ganaderas, forestales 2%"
"irpf_sale_7","Retenciones a cuenta IRPF 7%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-7.0')","irpf_base_sale_7","irpf_cuota_sale_7","irpf_base_sale_7","irpf_cuota_sale_7",1,1,-1,-1,"pgc_473007","pgc_473007",,,,"Hacienda Pública. Retenciones a cuenta act. profesionales 7%"
"irpf_sale_9","Retenciones a cuenta IRPF 9%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-9.0')","irpf_base_sale_9","irpf_cuota_sale_9","irpf_base_sale_9","irpf_cuota_sale_9",1,1,-1,-1,"pgc_473009","pgc_473009",,,,"Hacienda Pública. Retenciones a cuenta act. profesionales 9%"
"irpf_sale_15","Retenciones a cuenta IRPF 15%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-15.0')","irpf_base_sale_15","irpf_cuota_sale_15","irpf_base_sale_15","irpf_cuota_sale_15",1,1,-1,-1,"pgc_473015","pgc_473015",,,,"Hacienda Pública. Retenciones a cuenta act. profesionales 15%"
"irpf_sale_18","Retenciones a cuenta IRPF 18%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-18.0')","irpf_base_sale_18","irpf_cuota_sale_18","irpf_base_sale_18","irpf_cuota_sale_18",1,1,-1,-1,"pgc_473018","pgc_473018",,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 18%"
"irpf_sale_19","Retenciones a cuenta IRPF 19%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-19.0')","irpf_base_sale_19","irpf_cuota_sale_19","irpf_base_sale_19","irpf_cuota_sale_19",1,1,-1,-1,"pgc_473019","pgc_473019",,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19%"
"irpf_sale_195","Retenciones a cuenta IRPF 19,5%",,"pgc_0","tax_group_sale","percentage","False","Decimal('-19.5')","irpf_base_sale_195","irpf_cuota_sale_195","irpf_base_sale_195","irpf_cuota_sale_195",1,1,-1,-1,"pgc_473095","pgc_473095",,,,"Hacienda Pública. Retenciones a cuenta arrendamientos, cap. mobiliario 19,5%"
