"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign3","invoice_tax_sign3","credit_note_base_sign3","credit_note_tax_sign3","invoice_base_sign4","invoice_tax_sign4","credit_note_base_sign4","credit_note_tax_sign4","invoice_account","credit_note_account","sequence","start_date","end_date","account_name","deducible","report_description","report_type",,,,,,,"update_unit_price",,,,"Include_347","sii_tax_used","sii_invoice_used"
"irpf_pymes_1","Retenciones IRPF 1%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-1.0')","irpf_pymes_base_1","irpf_pymes_cuota_1","irpf_pymes_base_1","irpf_pymes_cuota_1",1,1,-1,-1,1,1,1,1,"pgc_pymes_475101","pgc_pymes_475101",2530,,,"Hacienda Pública. Retenciones empresarios módulos 1%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_2","Retenciones IRPF 2%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-2.0')","irpf_pymes_base_2","irpf_pymes_cuota_2","irpf_pymes_base_2","irpf_pymes_cuota_2",1,1,-1,-1,1,1,1,1,"pgc_pymes_475102","pgc_pymes_475102",2520,,,"Hacienda Pública. Retenciones act. agrícolas, ganaderas, forestales 2%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_7","Retenciones IRPF 7%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-7.0')","irpf_pymes_base_7","irpf_pymes_cuota_7","irpf_pymes_base_7","irpf_pymes_cuota_7",1,1,-1,-1,1,1,1,1,"pgc_pymes_475107","pgc_pymes_475107",2540,,,"Hacienda Pública. Retenciones act. profesionales 7%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_9","Retenciones IRPF 9%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-9.0')","irpf_pymes_base_9","irpf_pymes_cuota_9","irpf_pymes_base_9","irpf_pymes_cuota_9",1,1,-1,-1,1,1,1,1,"pgc_pymes_475109","pgc_pymes_475109",2510,,,"Hacienda Pública. Retenciones act. profesionales 9%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_15","Retenciones IRPF 15%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-15.0')","irpf_pymes_base_15","irpf_pymes_cuota_15","irpf_pymes_base_15","irpf_pymes_cuota_15",1,1,-1,-1,1,1,1,1,"pgc_pymes_475115","pgc_pymes_475115",2500,,,"Hacienda Pública. Retenciones act. profesionales 15%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_18","Retenciones IRPF 18%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-18.0')","irpf_pymes_base_18","irpf_pymes_cuota_18","irpf_pymes_base_18","irpf_pymes_cuota_18",1,1,-1,-1,1,1,1,1,"pgc_pymes_475118","pgc_pymes_475118",2600,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 18%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_19","Retenciones IRPF 19%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-19.0')","irpf_pymes_base_19","irpf_pymes_cuota_19","irpf_pymes_base_19","irpf_pymes_cuota_19",1,1,-1,-1,1,1,1,1,"pgc_pymes_475119","pgc_pymes_475119",2590,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_195","Retenciones IRPF 19,5%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-19.5')","irpf_pymes_base_195","irpf_pymes_cuota_195","irpf_pymes_base_195","irpf_pymes_cuota_195",1,1,-1,-1,1,1,1,1,"pgc_pymes_475195","pgc_pymes_475195",2580,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 19,5%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_20","Retenciones IRPF 20%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-20.0')","irpf_pymes_base_20","irpf_pymes_cuota_20","irpf_pymes_base_20","irpf_pymes_cuota_20",1,1,-1,-1,1,1,1,1,"pgc_pymes_475120","pgc_pymes_475120",2570,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 20%","True",,4,,,,,,,"False",,,,"False","False","False"
"irpf_pymes_21","Retenciones IRPF 21%",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('-21.0')","irpf_pymes_base_21","irpf_pymes_cuota_21","irpf_pymes_base_21","irpf_pymes_cuota_21",1,1,-1,-1,1,1,1,1,"pgc_pymes_475121","pgc_pymes_475121",2560,,,"Hacienda Pública. Retenciones arrendamientos, cap. mobiliario 21%","True",,4,,,,,,,"False",,,,"False","False","False"
