"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign","invoice_tax_sign","credit_note_base_sign","credit_note_tax_sign","invoice_account","credit_note_account","sequence","start_date","end_date","account_name"
"iva_sop_ex","IVA Soportado exento (operaciones corrientes)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('0.0')","base_sop_ex",,"base_sop_ex",,1,1,1,1,"pgc_4700_child","pgc_4700_child",2030,,,"Hacienda deudora IVA"
"iva_sop_4","4% IVA Soportado (operaciones corrientes)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('4.0')","iva_ded_22_4","iva_ded_23_4","iva_ded_22_4","iva_ded_23_4",1,1,1,1,"pgc_472004","pgc_472004",2020,,,"Hacienda Pública. IVA soportado 4%"
"iva_sop_10","10% IVA Soportado (operaciones corrientes)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('10.0')","iva_ded_22_10","iva_ded_23_10","iva_ded_22_10","iva_ded_23_10",1,1,1,1,"pgc_472010","pgc_472010",2010,"2012-09-01",,"Hacienda Pública. IVA soportado 10%"
"iva_sop_21","21% IVA Soportado (operaciones corrientes)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('21.0')","iva_ded_22_21","iva_ded_23_21","iva_ded_22_21","iva_ded_23_21",1,1,1,1,"pgc_472021","pgc_472021",2000,"2012-09-01",,"Hacienda Pública. IVA soportado 21%"
"iva_sop_ex_inv","IVA Soportado exento (bienes de inversión)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('0.0')","base_sop_ex",,"base_sop_ex",,1,1,1,1,"pgc_4700_child","pgc_4700_child",2070,,,"Hacienda deudora IVA"
"iva_sop_4_inv","4% IVA Soportado (bienes de inversión)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('4.0')","iva_ded_24_4","iva_ded_25_4","iva_ded_24_4","iva_ded_25_4",1,1,1,1,"pgc_472004","pgc_472004",2060,,,"Hacienda Pública. IVA soportado 4%"
"iva_sop_10_inv","10% IVA Soportado (bienes de inversión)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('10.0')","iva_ded_24_10","iva_ded_25_10","iva_ded_24_10","iva_ded_25_10",1,1,1,1,"pgc_472010","pgc_472010",2050,"2012-09-01",,"Hacienda Pública. IVA soportado 10%"
"iva_sop_21_inv","21% IVA Soportado (bienes de inversión)",,"pgc_0","tax_group_purchase","percentage","False","Decimal('21.0')","iva_ded_24_21","iva_ded_25_21","iva_ded_24_21","iva_ded_25_21",1,1,1,1,"pgc_472021","pgc_472021",2040,"2012-09-01",,"Hacienda Pública. IVA soportado 21%"
"iva_rep_ex","IVA Exento",,"pgc_0","tax_group_sale","percentage","False","Decimal('0.0')","base_rep_ex",,"base_rep_ex",,1,1,1,1,"pgc_4750_child","pgc_4750_child",1030,,,"Hacienda acreedora IVA"
"iva_rep_4","IVA 4%",,"pgc_0","tax_group_sale","percentage","False","Decimal('4.0')","iva_dev_01","iva_dev_03","iva_dev_01","iva_dev_03",1,1,1,1,"pgc_477004","pgc_477004",1020,,,"Hacienda Pública. IVA repercutido 4%"
"iva_rep_10","IVA 10%",,"pgc_0","tax_group_sale","percentage","False","Decimal('10.0')","iva_dev_04_10","iva_dev_06_10","iva_dev_04_10","iva_dev_06_10",1,1,1,1,"pgc_477010","pgc_477010",1010,"2012-09-01",,"Hacienda Pública. IVA repercutido 10%"
"iva_rep_21","IVA 21%",,"pgc_0","tax_group_sale","percentage","False","Decimal('21.0')","iva_dev_07_21","iva_dev_09_21","iva_dev_07_21","iva_dev_09_21",1,1,1,1,"pgc_477021","pgc_477021",1000,"2012-09-01",,"Hacienda Pública. IVA repercutido 21%"
"iva_rep_4_recc","IVA Criterio Caja 4%",,"pgc_0","tax_group_sale","percentage","False","Decimal('4.0')","recc_base_dev_04","recc_dev_04","recc_base_dev_04","recc_dev_04",1,1,1,1,"pgc_477904","pgc_477904",1060,,,"Hacienda Pública. IVA repercutido pendiente de cobro 4%"
"iva_rep_10_recc","IVA Criterio Caja 10%",,"pgc_0","tax_group_sale","percentage","False","Decimal('10.0')","recc_base_dev_10","recc_dev_10","recc_base_dev_10","recc_dev_10",1,1,1,1,"pgc_477910","pgc_477910",1050,,,"Hacienda Pública. IVA repercutido pendiente de cobro 10%"
"iva_rep_21_recc","IVA Criterio Caja 21%",,"pgc_0","tax_group_sale","percentage","False","Decimal('21.0')","recc_base_dev_21","recc_dev_21","recc_base_dev_21","recc_dev_21",1,1,1,1,"pgc_477921","pgc_477921",1040,,,"Hacienda Pública. IVA repercutido pendiente de cobro 21%"
"iva_sop_4_recc","4% IVA Soportado criterio de caja",,"pgc_0","tax_group_purchase","percentage","False","Decimal('4.0')","recc_base_ded_04","recc_ded_04","recc_base_ded_04","recc_ded_04",1,1,1,1,"pgc_472904","pgc_472904",2100,,,"Hacienda Pública. IVA soportado pendiente de pago 4%"
"iva_sop_10_recc","10% IVA Soportado criterio de caja",,"pgc_0","tax_group_purchase","percentage","False","Decimal('10.0')","recc_base_ded_10","recc_ded_10","recc_base_ded_10","recc_ded_10",1,1,1,1,"pgc_472910","pgc_472910",2090,,,"Hacienda Pública. IVA soportado pendiente de pago 10%"
"iva_sop_21_recc","21% IVA Soportado criterio de caja",,"pgc_0","tax_group_purchase","percentage","False","Decimal('21.0')","recc_base_ded_21","recc_ded_21","recc_base_ded_21","recc_ded_21",1,1,1,1,"pgc_472921","pgc_472921",2080,,,"Hacienda Pública. IVA soportado pendiente de pago 21%"
"iva_sop_alq_ex","IVA Soportado alquiler vivienda exento",,"pgc_0","tax_group_purchase","percentage","False","Decimal('0.0')","base_sop_alq_ex",,"base_sop_alq_ex",,1,1,1,1,"pgc_4700_child","pgc_4700_child",2110,,,"Hacienda deudora IVA"
"iva_rep_alq_ex","IVA alquiler vivienda Exento",,"pgc_0","tax_group_sale","percentage","False","Decimal('0.0')","base_rep_alq_ex",,"base_rep_alq_ex",,1,1,1,1,"pgc_4750_child","pgc_4750_child",1070,,,"Hacienda acreedora IVA"
