"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign","invoice_tax_sign","credit_note_base_sign","credit_note_tax_sign","invoice_account","credit_note_account","sequence","start_date","end_date","account_name"
"re_buy_05","0.50% Recargo Equivalencia Compras",,"pgc_0","tax_group_purchase","percentage","True","Decimal('0.5')","iva_ded_10","iva_ded_12","iva_ded_10","iva_ded_12",1,1,-1,-1,"pgc_472104","pgc_472104",,,,"Hacienda Pública. IVA Recargo de Equivalencia 0.5%"
"re_buy_1","1% Recargo Equivalencia Compras",,"pgc_0","tax_group_purchase","percentage","True","Decimal('1.0')","iva_ded_13","iva_ded_15","iva_ded_13","iva_ded_15",1,1,-1,-1,"pgc_472108","pgc_472108",,,,"Hacienda Pública. IVA Recargo de Equivalencia 1%"
"re_buy_14","1.4% Recargo Equivalencia Compras",,"pgc_0","tax_group_purchase","percentage","True","Decimal('1.4')","iva_ded_13_14","iva_ded_15_14","iva_ded_13_14","iva_ded_15_14",1,1,-1,-1,"pgc_472110","pgc_472110",,,,"Hacienda Pública. IVA Recargo de Equivalencia 1.4%"
"re_buy_4","4% Recargo Equivalencia Compras",,"pgc_0","tax_group_purchase","percentage","True","Decimal('4.0')","iva_ded_16","iva_ded_18","iva_ded_16","iva_ded_18",1,1,-1,-1,"pgc_472118","pgc_472118",,,,"Hacienda Pública. IVA Recargo de Equivalencia 4%"
"re_buy_52","5.2% Recargo Equivalencia Compras",,"pgc_0","tax_group_purchase","percentage","True","Decimal('5.2')","iva_ded_16_52","iva_ded_18_52","iva_ded_16_52","iva_ded_18_52",1,1,-1,-1,"pgc_472121","pgc_472121",,,,"Hacienda Pública. IVA Recargo de Equivalencia 5.2%"
"re_05","0.50% Recargo Equivalencia Ventas",,"pgc_0","tax_group_sale","percentage","True","Decimal('0.5')","iva_dev_10","iva_dev_12","iva_dev_10","iva_dev_12",1,1,-1,-1,"pgc_477104","pgc_477104",,,,"Hacienda Pública. IVA soportado. Recargo de Equivalencia 0.5%"
"re_1","1% Recargo Equivalencia Ventas",,"pgc_0","tax_group_sale","percentage","True","Decimal('1.0')","iva_dev_13","iva_dev_15","iva_dev_13","iva_dev_15",1,1,-1,-1,"pgc_477108","pgc_477108",,,,"Hacienda Pública. IVA soportado. Recargo de Equivalencia 1%"
"re_14","1.4% Recargo Equivalencia Ventas",,"pgc_0","tax_group_sale","percentage","True","Decimal('1.4')","iva_dev_13_14","iva_dev_15_14","iva_dev_13_14","iva_dev_15_14",1,1,-1,-1,"pgc_477110","pgc_477110",,,,"Hacienda Pública. IVA soportado. Recargo de Equivalencia 1.4%"
"re_4","4% Recargo Equivalencia Ventas",,"pgc_0","tax_group_sale","percentage","True","Decimal('4.0')","iva_dev_16","iva_dev_18","iva_dev_16","iva_dev_18",1,1,-1,-1,"pgc_477118","pgc_477118",,,,"Hacienda Pública. IVA soportado. Recargo de Equivalencia 4%"
"re_52","5.2% Recargo Equivalencia Ventas",,"pgc_0","tax_group_sale","percentage","True","Decimal('5.2')","iva_dev_16_52","iva_dev_18_52","iva_dev_16_52","iva_dev_18_52",1,1,-1,-1,"pgc_477121","pgc_477121",,,,"Hacienda Pública. IVA soportado. Recargo de Equivalencia 5.2%"
