"id","name","account","kind"
"fp_nacional","Régimen Nacional","pgc_0","both"
"fp_recargo","Recargo de Equivalencia","pgc_0","both"
"fp_extra","Régimen Extracomunitario","pgc_0","both"
"fp_intra","Régimen Intracomunitario","pgc_0","both"
"fp_irpf21","Retención IRPF 21%","pgc_0","both"
"fp_irpf20","Retención IRPF 20%","pgc_0","both"
"fp_irpf19","Retención IRPF 19%","pgc_0","both"
"fp_irpf18","Retención IRPF 18%","pgc_0","both"
"fp_irpf15","Retención IRPF 15%","pgc_0","both"
"fp_irpf9","Retención IRPF 9%","pgc_0","both"
"fp_irpf7","Retención IRPF 7%","pgc_0","both"
"fp_irpf2","Retención IRPF 2%","pgc_0","both"
"fp_irpf1","Retención IRPF 1%","pgc_0","both"
