"id","rule","origin_tax","tax","group"
"fptt_extra_4","fp_extra","iva_sop_4","iva_X4_compras_bc","tax_group_purchase"
"fptt_extra_4_inv","fp_extra","iva_sop_4_inv","iva_X4_compras_bi","tax_group_purchase"
"fptt_extra_10","fp_extra","iva_sop_10","iva_X10_compras_bc","tax_group_purchase"
"fptt_extra_10_inv","fp_extra","iva_sop_10_inv","iva_X10_compras_bi","tax_group_purchase"
"fptt_extra_21","fp_extra","iva_sop_21","iva_X21_compras_bc","tax_group_purchase"
"fptt_extra_21_inv","fp_extra","iva_sop_21_inv","iva_X21_compras_bi","tax_group_purchase"
"fptt_extra_ventas_4","fp_extra","iva_rep_4","iva_X0","tax_group_sale"
"fptt_extra_ventas_10","fp_extra","iva_rep_10","iva_X0","tax_group_sale"
"fptt_extra_ventas_21","fp_extra","iva_rep_21","iva_X0","tax_group_sale"
"fptt_intra_4","fp_intra","iva_sop_4","iva_IC_compras_4_bc","tax_group_purchase"
"fptt_intra_4_inv","fp_intra","iva_sop_4_inv","iva_IC_compras_4_bi","tax_group_purchase"
"fptt_intra_10","fp_intra","iva_sop_10","iva_IC_compras_10_bc","tax_group_purchase"
"fptt_intra_10_inv","fp_intra","iva_sop_10_inv","iva_IC_compras_10_bi","tax_group_purchase"
"fptt_intra_21","fp_intra","iva_sop_21","iva_IC_compras_21_bc","tax_group_purchase"
"fptt_intra_21_inv","fp_intra","iva_sop_21_inv","iva_IC_compras_21_bi","tax_group_purchase"
"fptt_intra_ventas_4","fp_intra","iva_rep_4","iva_IO","tax_group_sale"
"fptt_intra_ventas_10","fp_intra","iva_rep_10","iva_IO","tax_group_sale"
"fptt_intra_ventas_21","fp_intra","iva_rep_21","iva_IO","tax_group_sale"
"fptt_recargo_4","fp_recargo","iva_rep_4","iva_rep_4","tax_group_sale"
"fptt_recargo_4_2","fp_recargo","iva_rep_4","re_05","tax_group_sale"
"fptt_recargo_10","fp_recargo","iva_rep_10","iva_rep_10","tax_group_sale"
"fptt_recargo_10_2","fp_recargo","iva_rep_10","re_14","tax_group_sale"
"fptt_recargo_21","fp_recargo","iva_rep_21","iva_rep_21","tax_group_sale"
"fptt_recargo_21_2","fp_recargo","iva_rep_21","re_52","tax_group_sale"
"fptt_recargo_buy_4","fp_recargo","iva_sop_4","iva_sop_4","tax_group_purchase"
"fptt_recargo_buy_4_2","fp_recargo","iva_sop_4","re_buy_05","tax_group_purchase"
"fptt_recargo_buy_10","fp_recargo","iva_sop_10","iva_sop_10","tax_group_purchase"
"fptt_recargo_buy_10_2","fp_recargo","iva_sop_10","re_buy_14","tax_group_purchase"
"fptt_recargo_buy_4_inv","fp_recargo","iva_sop_4_inv","iva_sop_4_inv","tax_group_purchase"
"fptt_recargo_buy_4_2_inv","fp_recargo","iva_sop_4_inv","re_buy_05","tax_group_purchase"
"fptt_recargo_buy_10_inv","fp_recargo","iva_sop_10_inv","iva_sop_10_inv","tax_group_purchase"
"fptt_recargo_buy_10_2_inv","fp_recargo","iva_sop_10_inv","re_buy_14","tax_group_purchase"
"fptt_recargo_buy_21","fp_recargo","iva_sop_21","iva_sop_21","tax_group_purchase"
"fptt_recargo_buy_21_2","fp_recargo","iva_sop_21","re_buy_52","tax_group_purchase"
