"id","rule","origin_tax","tax","group"
"fptt_pymes_extra_4","fp_pymes_extra","iva_pymes_sop_4","iva_pymes_X4_compras_bc","tax_group_purchase_pymes"
"fptt_pymes_extra_4_inv","fp_pymes_extra","iva_pymes_sop_4_inv","iva_pymes_X4_compras_bi","tax_group_purchase_pymes"
"fptt_pymes_extra_10","fp_pymes_extra","iva_pymes_sop_10","iva_pymes_X10_compras_bc","tax_group_purchase_pymes"
"fptt_pymes_extra_10_inv","fp_pymes_extra","iva_pymes_sop_10_inv","iva_pymes_X10_compras_bi","tax_group_purchase_pymes"
"fptt_pymes_extra_21","fp_pymes_extra","iva_pymes_sop_21","iva_pymes_X21_compras_bc","tax_group_purchase_pymes"
"fptt_pymes_extra_21_inv","fp_pymes_extra","iva_pymes_sop_21_inv","iva_pymes_X21_compras_bi","tax_group_purchase_pymes"
"fptt_pymes_extra_ventas_4","fp_pymes_extra","iva_pymes_rep_4","iva_pymes_X0","tax_group_sale_pymes"
"fptt_pymes_extra_ventas_10","fp_pymes_extra","iva_pymes_rep_10","iva_pymes_X0","tax_group_sale_pymes"
"fptt_pymes_extra_ventas_21","fp_pymes_extra","iva_pymes_rep_21","iva_pymes_X0","tax_group_sale_pymes"
"fptt_pymes_intra_4","fp_pymes_intra","iva_pymes_sop_4","iva_pymes_IC_compras_4_bc","tax_group_purchase_pymes"
"fptt_pymes_intra_4_inv","fp_pymes_intra","iva_pymes_sop_4_inv","iva_pymes_IC_compras_4_bi","tax_group_purchase_pymes"
"fptt_pymes_intra_10","fp_pymes_intra","iva_pymes_sop_10","iva_pymes_IC_compras_10_bc","tax_group_purchase_pymes"
"fptt_pymes_intra_10_inv","fp_pymes_intra","iva_pymes_sop_10_inv","iva_pymes_IC_compras_10_bi","tax_group_purchase_pymes"
"fptt_pymes_intra_21","fp_pymes_intra","iva_pymes_sop_21","iva_pymes_IC_compras_21_bc","tax_group_purchase_pymes"
"fptt_pymes_intra_21_inv","fp_pymes_intra","iva_pymes_sop_21_inv","iva_pymes_IC_compras_21_bi","tax_group_purchase_pymes"
"fptt_pymes_intra_ventas_4","fp_pymes_intra","iva_pymes_rep_4","iva_pymes_IO","tax_group_sale_pymes"
"fptt_pymes_intra_ventas_10","fp_pymes_intra","iva_pymes_rep_10","iva_pymes_IO","tax_group_sale_pymes"
"fptt_pymes_intra_ventas_21","fp_pymes_intra","iva_pymes_rep_21","iva_pymes_IO","tax_group_sale_pymes"
"fptt_pymes_recargo_4","fp_pymes_recargo","iva_pymes_rep_4","iva_pymes_rep_4","tax_group_sale_pymes"
"fptt_pymes_recargo_4_2","fp_pymes_recargo","iva_pymes_rep_4","re_pymes_05","tax_group_sale_pymes"
"fptt_pymes_recargo_10","fp_pymes_recargo","iva_pymes_rep_10","iva_pymes_rep_10","tax_group_sale_pymes"
"fptt_pymes_recargo_10_2","fp_pymes_recargo","iva_pymes_rep_10","re_pymes_14","tax_group_sale_pymes"
"fptt_pymes_recargo_21","fp_pymes_recargo","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
"fptt_pymes_recargo_21_2","fp_pymes_recargo","iva_pymes_rep_21","re_pymes_52","tax_group_sale_pymes"
"fptt_pymes_recargo_buy_4","fp_pymes_recargo","iva_pymes_sop_4","iva_pymes_sop_4","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_4_2","fp_pymes_recargo","iva_pymes_sop_4","re_pymes_buy_05","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_10","fp_pymes_recargo","iva_pymes_sop_10","iva_pymes_sop_10","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_10_2","fp_pymes_recargo","iva_pymes_sop_10","re_pymes_buy_14","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_21","fp_pymes_recargo","iva_pymes_sop_21","iva_pymes_sop_21","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_21_2","fp_pymes_recargo","iva_pymes_sop_21","re_pymes_buy_52","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_4_inv","fp_pymes_recargo","iva_pymes_sop_4_inv","iva_pymes_sop_4_inv","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_4_2_inv","fp_pymes_recargo","iva_pymes_sop_4_inv","re_pymes_buy_05","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_10_inv","fp_pymes_recargo","iva_pymes_sop_10_inv","iva_pymes_sop_10_inv","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_10_2_inv","fp_pymes_recargo","iva_pymes_sop_10_inv","re_pymes_buy_14","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_21_inv","fp_pymes_recargo","iva_pymes_sop_21_inv","iva_pymes_sop_21_inv","tax_group_purchase_pymes"
"fptt_pymes_recargo_buy_21_2_inv","fp_pymes_recargo","iva_pymes_sop_21_inv","re_pymes_buy_52","tax_group_purchase_pymes"
"fptt_pymes_irpf37sale_21","fp_pymes_irpf37","iva_pymes_rep_21","iva_pymes_rep_21","tax_group_sale_pymes"
